||211.75.237.90||传入资料-json:[]传入资料-原始:
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041623040044yqeg18g","p3_Amount":"1470.00","p4_Cur":"1","p5_ProductName":"嘉峪关三生,业务交易号:20181204162246002bab00020","p7_Mp":"/js/2088522334725416/D2018112214104166","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"8fbac20bc84b0cf38bdce48977adb94c"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041623040044yqeg18g&p3_Amount=1470.00&p4_Cur=1&p5_ProductName=%E5%98%89%E5%B3%AA%E5%85%B3%E4%B8%89%E7%94%9F%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204162246002bab00020&p7_Mp=%2Fjs%2F2088522334725416%2FD2018112214104166&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=8fbac20bc84b0cf38bdce48977adb94c
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041623040044yqeg18g","p3_Amount":"100.00","p4_Cur":"1","p5_ProductName":"陕西邦德节,业务交易号:20181204162258006bab00020","p7_Mp":"/js/2088222339719314/D2018112214106360","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"a9a01174c7bde89d5aa373cb8218182e"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041623040044yqeg18g&p3_Amount=100.00&p4_Cur=1&p5_ProductName=%E9%99%95%E8%A5%BF%E9%82%A6%E5%BE%B7%E8%8A%82%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204162258006bab00020&p7_Mp=%2Fjs%2F2088222339719314%2FD2018112214106360&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=a9a01174c7bde89d5aa373cb8218182e
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041623100044yqeg18g","p3_Amount":"100.00","p4_Cur":"1","p5_ProductName":"岳阳山瑞商,业务交易号:20181204162255004bab00020","p7_Mp":"/js/2088122788546030/D2018112614262482","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"a4383a2398dbc0007acffa0d730071e3"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041623100044yqeg18g&p3_Amount=100.00&p4_Cur=1&p5_ProductName=%E5%B2%B3%E9%98%B3%E5%B1%B1%E7%91%9E%E5%95%86%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204162255004bab00020&p7_Mp=%2Fjs%2F2088122788546030%2FD2018112614262482&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=a4383a2398dbc0007acffa0d730071e3
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041623140044yqeg18g","p3_Amount":"100.00","p4_Cur":"1","p5_ProductName":"四川四达物,业务交易号:20181204162305007bab00020","p7_Mp":"/js/2088222530790668/D2018112214099456","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"0f94cd98b4569ef35af01f036ee47786"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041623140044yqeg18g&p3_Amount=100.00&p4_Cur=1&p5_ProductName=%E5%9B%9B%E5%B7%9D%E5%9B%9B%E8%BE%BE%E7%89%A9%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204162305007bab00020&p7_Mp=%2Fjs%2F2088222530790668%2FD2018112214099456&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=0f94cd98b4569ef35af01f036ee47786
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041623230044yqeg18g","p3_Amount":"150.00","p4_Cur":"1","p5_ProductName":"厦门龙翔达,业务交易号:20181204162318002bab00020","p7_Mp":"/js/2088122631578379/D2018112214110015","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"355276bf330f88e991731d10cdbacc63"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041623230044yqeg18g&p3_Amount=150.00&p4_Cur=1&p5_ProductName=%E5%8E%A6%E9%97%A8%E9%BE%99%E7%BF%94%E8%BE%BE%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204162318002bab00020&p7_Mp=%2Fjs%2F2088122631578379%2FD2018112214110015&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=355276bf330f88e991731d10cdbacc63
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041623240044yqeg18g","p3_Amount":"100.00","p4_Cur":"1","p5_ProductName":"珠海一亩粮,业务交易号:20181204162309005bab00020","p7_Mp":"/js/2088312906194313/D2018112214113627","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"80258c2465eec171bdd89d7955ea11e0"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041623240044yqeg18g&p3_Amount=100.00&p4_Cur=1&p5_ProductName=%E7%8F%A0%E6%B5%B7%E4%B8%80%E4%BA%A9%E7%B2%AE%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204162309005bab00020&p7_Mp=%2Fjs%2F2088312906194313%2FD2018112214113627&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=80258c2465eec171bdd89d7955ea11e0
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041623240044yqeg18g","p3_Amount":"12.00","p4_Cur":"1","p5_ProductName":"安徽双益融,业务交易号:20181204162304004bab00020","p7_Mp":"/js/2088712100487927/D2018112214110045","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"f4a9afcd897d786ed061d604157b395d"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041623240044yqeg18g&p3_Amount=12.00&p4_Cur=1&p5_ProductName=%E5%AE%89%E5%BE%BD%E5%8F%8C%E7%9B%8A%E8%9E%8D%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204162304004bab00020&p7_Mp=%2Fjs%2F2088712100487927%2FD2018112214110045&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=f4a9afcd897d786ed061d604157b395d
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041623380044yqeg18g","p3_Amount":"1470.00","p4_Cur":"1","p5_ProductName":"杭州东裕盛,业务交易号:20181204162331002bab00020","p7_Mp":"/js/2088522334725416/D2018112214107047","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"41a6bd8f0974272a07d9aee06606f518"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041623380044yqeg18g&p3_Amount=1470.00&p4_Cur=1&p5_ProductName=%E6%9D%AD%E5%B7%9E%E4%B8%9C%E8%A3%95%E7%9B%9B%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204162331002bab00020&p7_Mp=%2Fjs%2F2088522334725416%2FD2018112214107047&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=41a6bd8f0974272a07d9aee06606f518
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041624030044yqeg18g","p3_Amount":"87.00","p4_Cur":"1","p5_ProductName":"四川吉成化,业务交易号:20181204162350001bab00020","p7_Mp":"/js/2088402704502145/D2018120214453210","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"35917c22e53a2cc73a762df7bb1a0b10"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041624030044yqeg18g&p3_Amount=87.00&p4_Cur=1&p5_ProductName=%E5%9B%9B%E5%B7%9D%E5%90%89%E6%88%90%E5%8C%96%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204162350001bab00020&p7_Mp=%2Fjs%2F2088402704502145%2FD2018120214453210&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=35917c22e53a2cc73a762df7bb1a0b10
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041624040044yqeg18g","p3_Amount":"60.00","p4_Cur":"1","p5_ProductName":"黄冈市华窑,业务交易号:20181204162351001bab00020","p7_Mp":"/js/2088722553405951/D2018112214111918","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"0d2bb36905960bbd3ec3ed8cea6ba9cc"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041624040044yqeg18g&p3_Amount=60.00&p4_Cur=1&p5_ProductName=%E9%BB%84%E5%86%88%E5%B8%82%E5%8D%8E%E7%AA%91%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204162351001bab00020&p7_Mp=%2Fjs%2F2088722553405951%2FD2018112214111918&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=0d2bb36905960bbd3ec3ed8cea6ba9cc
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041624070044yqeg18g","p3_Amount":"150.00","p4_Cur":"1","p5_ProductName":"临汾市锦华,业务交易号:20181204162350005bab00020","p7_Mp":"/js/2088212292985015/D2018112214109379","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"751911688d186e3af1a445889c9780c6"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041624070044yqeg18g&p3_Amount=150.00&p4_Cur=1&p5_ProductName=%E4%B8%B4%E6%B1%BE%E5%B8%82%E9%94%A6%E5%8D%8E%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204162350005bab00020&p7_Mp=%2Fjs%2F2088212292985015%2FD2018112214109379&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=751911688d186e3af1a445889c9780c6
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041625420044yqeg18g","p3_Amount":"20.00","p4_Cur":"1","p5_ProductName":"合肥市昌舜,业务交易号:20181204162538001bab00020","p7_Mp":"/js/2088522567518087/D2018112214106075","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"321ba1875afcffa38e0ffad4048c7c9a"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041625420044yqeg18g&p3_Amount=20.00&p4_Cur=1&p5_ProductName=%E5%90%88%E8%82%A5%E5%B8%82%E6%98%8C%E8%88%9C%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204162538001bab00020&p7_Mp=%2Fjs%2F2088522567518087%2FD2018112214106075&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=321ba1875afcffa38e0ffad4048c7c9a
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041625430044yqeg18g","p3_Amount":"10.00","p4_Cur":"1","p5_ProductName":"崇阳县恒顺,业务交易号:20181204162533004bab00020","p7_Mp":"/js/2088722323273760/D2018120214460871","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"03d07158c2068206835e892dcb043e9e"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041625430044yqeg18g&p3_Amount=10.00&p4_Cur=1&p5_ProductName=%E5%B4%87%E9%98%B3%E5%8E%BF%E6%81%92%E9%A1%BA%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204162533004bab00020&p7_Mp=%2Fjs%2F2088722323273760%2FD2018120214460871&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=03d07158c2068206835e892dcb043e9e
||35.194.228.20||传入资料-json:{"p0_Version":"1.0","p1_MerchantNo":"888103700002520","p2_OrderNo":"201812041625440044yqeg18g","p3_Amount":"150.00","p4_Cur":"1","p5_ProductName":"茂名市恒源,业务交易号:20181204162508007bab00020","p7_Mp":"/js/2088422872137592/D2018112214114240","p9_NotifyUrl":"http://35.201.254.106/callback/BabJoinpayback.php","q1_FrpCode":"ALIPAY_NATIVE","q4_IsShowPic":"1","hmac":"00e3acaeac897787643e46e7914ba492"}传入资料-原始:p0_Version=1.0&p1_MerchantNo=888103700002520&p2_OrderNo=201812041625440044yqeg18g&p3_Amount=150.00&p4_Cur=1&p5_ProductName=%E8%8C%82%E5%90%8D%E5%B8%82%E6%81%92%E6%BA%90%2C%E4%B8%9A%E5%8A%A1%E4%BA%A4%E6%98%93%E5%8F%B7%3A20181204162508007bab00020&p7_Mp=%2Fjs%2F2088422872137592%2FD2018112214114240&p9_NotifyUrl=http%3A%2F%2F35.201.254.106%2Fcallback%2FBabJoinpayback.php&q1_FrpCode=ALIPAY_NATIVE&q4_IsShowPic=1&hmac=00e3acaeac897787643e46e7914ba492
